id,category,role,cad_layer,aci,section,segment,scheme,start_x,start_y,start_z,end_x,end_y,end_z,length
column_0001,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z1,alternating-x,0.0,-2875.0,0.0,0.0,-2875.0,4250.0,4250.0
column_0002,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z1,alternating-x,0.0,-2875.0,4250.0,0.0,-2875.0,8500.0,4250.0
column_0003,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z1,alternating-x,0.0,-2875.0,8500.0,0.0,-2875.0,12750.0,4250.0
column_0004,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z1,alternating-x,0.0,-2875.0,12750.0,0.0,-2875.0,17000.0,4250.0
column_0005,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z1,alternating-x,0.0,2875.0,0.0,0.0,2875.0,4250.0,4250.0
column_0006,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z1,alternating-x,0.0,2875.0,4250.0,0.0,2875.0,8500.0,4250.0
column_0007,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z1,alternating-x,0.0,2875.0,8500.0,0.0,2875.0,12750.0,4250.0
column_0008,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z1,alternating-x,0.0,2875.0,12750.0,0.0,2875.0,17000.0,4250.0
deck_cross_beam_0001,deck_cross_beam,横向梁,ZJ8_DECK_CROSS,4,HN-180x180,P1_0_3000:Z1,double-side-cantilever,0.0,-2200.0,17000.0,0.0,2700.0,17000.0,4900.0
transverse_column_brace_0001,transverse_column_brace,横向柱间支撑,ZJ8_TRANSVERSE_BRACE,1,L90x90,P1_0_3000:Z1,alternating-x,0.0,-2875.0,0.0,0.0,2875.0,17000.0,17946.099855
transverse_column_brace_0002,transverse_column_brace,横向柱间支撑,ZJ8_TRANSVERSE_BRACE,1,L90x90,P1_0_3000:Z1,alternating-x,0.0,2875.0,0.0,0.0,-2875.0,17000.0,17946.099855
column_0009,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z2,alternating-x,12000.0,-2875.0,0.0,12000.0,-2875.0,4250.0,4250.0
column_0010,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z2,alternating-x,12000.0,-2875.0,4250.0,12000.0,-2875.0,8500.0,4250.0
column_0011,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z2,alternating-x,12000.0,-2875.0,8500.0,12000.0,-2875.0,12750.0,4250.0
column_0012,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z2,alternating-x,12000.0,-2875.0,12750.0,12000.0,-2875.0,17000.0,4250.0
column_0013,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z2,alternating-x,12000.0,2875.0,0.0,12000.0,2875.0,4250.0,4250.0
column_0014,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z2,alternating-x,12000.0,2875.0,4250.0,12000.0,2875.0,8500.0,4250.0
column_0015,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z2,alternating-x,12000.0,2875.0,8500.0,12000.0,2875.0,12750.0,4250.0
column_0016,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z2,alternating-x,12000.0,2875.0,12750.0,12000.0,2875.0,17000.0,4250.0
deck_cross_beam_0002,deck_cross_beam,横向梁,ZJ8_DECK_CROSS,4,HN-180x180,P2_3000_41520:Z2,double-side-cantilever,12000.0,-2200.0,17000.0,12000.0,2700.0,17000.0,4900.0
transverse_column_brace_0003,transverse_column_brace,横向柱间支撑,ZJ8_TRANSVERSE_BRACE,1,L90x90,P2_3000_41520:Z2,alternating-x,12000.0,-2875.0,0.0,12000.0,2875.0,17000.0,17946.099855
transverse_column_brace_0004,transverse_column_brace,横向柱间支撑,ZJ8_TRANSVERSE_BRACE,1,L90x90,P2_3000_41520:Z2,alternating-x,12000.0,2875.0,0.0,12000.0,-2875.0,17000.0,17946.099855
column_0017,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z3,alternating-x,24000.0,-2875.0,0.0,24000.0,-2875.0,4250.0,4250.0
column_0018,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z3,alternating-x,24000.0,-2875.0,4250.0,24000.0,-2875.0,8500.0,4250.0
column_0019,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z3,alternating-x,24000.0,-2875.0,8500.0,24000.0,-2875.0,12750.0,4250.0
column_0020,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z3,alternating-x,24000.0,-2875.0,12750.0,24000.0,-2875.0,17000.0,4250.0
column_0021,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z3,alternating-x,24000.0,2875.0,0.0,24000.0,2875.0,4250.0,4250.0
column_0022,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z3,alternating-x,24000.0,2875.0,4250.0,24000.0,2875.0,8500.0,4250.0
column_0023,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z3,alternating-x,24000.0,2875.0,8500.0,24000.0,2875.0,12750.0,4250.0
column_0024,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z3,alternating-x,24000.0,2875.0,12750.0,24000.0,2875.0,17000.0,4250.0
deck_cross_beam_0003,deck_cross_beam,横向梁,ZJ8_DECK_CROSS,4,HN-180x180,P2_3000_41520:Z3,double-side-cantilever,24000.0,-2200.0,17000.0,24000.0,2700.0,17000.0,4900.0
transverse_column_brace_0005,transverse_column_brace,横向柱间支撑,ZJ8_TRANSVERSE_BRACE,1,L90x90,P2_3000_41520:Z3,alternating-x,24000.0,-2875.0,0.0,24000.0,2875.0,17000.0,17946.099855
transverse_column_brace_0006,transverse_column_brace,横向柱间支撑,ZJ8_TRANSVERSE_BRACE,1,L90x90,P2_3000_41520:Z3,alternating-x,24000.0,2875.0,0.0,24000.0,-2875.0,17000.0,17946.099855
column_0025,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z4,alternating-x,36000.0,-2875.0,0.0,36000.0,-2875.0,4250.0,4250.0
column_0026,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z4,alternating-x,36000.0,-2875.0,4250.0,36000.0,-2875.0,8500.0,4250.0
column_0027,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z4,alternating-x,36000.0,-2875.0,8500.0,36000.0,-2875.0,12750.0,4250.0
column_0028,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z4,alternating-x,36000.0,-2875.0,12750.0,36000.0,-2875.0,17000.0,4250.0
column_0029,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z4,alternating-x,36000.0,2875.0,0.0,36000.0,2875.0,4250.0,4250.0
column_0030,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z4,alternating-x,36000.0,2875.0,4250.0,36000.0,2875.0,8500.0,4250.0
column_0031,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z4,alternating-x,36000.0,2875.0,8500.0,36000.0,2875.0,12750.0,4250.0
